side,close_reason,duration_bucket,episodes,mean_duration_ms,fully_removed_rate,replenished_rate,mean_initial_qty,mean_prints_at_quote,mean_prints_through,median_unexplained_share
0,improved,<=100ms,4267,79.25679225,0.04218420436,0.0002343566909,15081.27068,0.3344269979,3.16147176,1
0,improved,100-250ms,34443,124.3220319,0.01974276341,0.004674389571,12612.15727,0.6148709462,1.503150132,1
0,improved,250-500ms,7499,348.5697178,0.002266968929,0.4133884518,12561.29324,2.057207628,0.8602480331,0.9918301397
0,improved,500ms-1s,8165,682.3413203,0.00085731782,0.8565829761,12588.39473,3.403674219,0.5551745254,0.9811629952
0,improved,1-5s,14025,2242.980966,0.0002852049911,0.9936541889,14256.56884,7.699964349,0.1982174688,0.961763076
0,improved,5-30s,4605,10520.35777,0.000217155266,1,19199.62953,19.46775244,0.06731813246,0.9517547879
0,improved,>30s,541,60421.63317,0,1,21423.85767,60.94639556,0.001848428835,0.9314778265
0,segment_end,<=100ms,1,51.255441,0,0,8296,0,0,
0,segment_end,500ms-1s,2,553.650373,0,0,1830.5,1.5,0,0.9467333726
0,segment_end,1-5s,1,3667.14603,0,1,14929,8,0,0.7691998392
0,segment_end,5-30s,4,14828.89441,0,1,4033.75,20,0,0.9445828854
0,stepped_away,<=100ms,4287,79.04630724,1,0.0002332633543,1775.158619,0.7007231164,13.94891533,0.9892046706
0,stepped_away,100-250ms,34439,125.5214963,1,0.000116147391,1692.248207,1.232672261,16.29039751,0.5620262391
0,stepped_away,250-500ms,8005,348.5101214,1,0.2445971268,3944.930918,2.693191755,18.54440974,0.7498723094
0,stepped_away,500ms-1s,8802,681.9522634,1,0.7201772324,4975.497841,4.230402181,19.62815269,0.7636319332
0,stepped_away,1-5s,14180,2236.807633,1,0.9815232722,7133.774824,8.769816643,20.475811,0.8051722832
0,stepped_away,5-30s,4753,10782.75416,1,1,12758.84452,21.73953293,19.6698927,0.8490826204
0,stepped_away,>30s,604,58201.02477,1,1,19527.40728,65.25662252,18.51986755,0.8692556124
1,improved,<=100ms,4413,78.81642111,0.04554724677,0,14365.67097,0.2911851348,2.463856787,1
1,improved,100-250ms,34653,125.3561803,0.02245115863,0.004357487086,11841.82235,0.6106542002,1.84774767,1
1,improved,250-500ms,8012,348.4332587,0.002121817274,0.3971542686,11717.11183,1.897403894,1.236395407,0.9929529439
1,improved,500ms-1s,8801,682.0573381,0.0006817407113,0.8425178957,11780.67822,3.232700829,0.6043631406,0.9817401961
1,improved,1-5s,14179,2236.836843,7.052683546e-05,0.9930178433,13891.16517,7.19098667,0.48049933,0.9645291862
1,improved,5-30s,4753,10782.71158,0,1,19054.54155,19.75468125,0.07447927625,0.9492026449
1,improved,>30s,604,58200.70427,0,1,23092.62583,61.47516556,0.03311258278,0.9289226286
1,segment_end,<=100ms,1,51.255441,0,0,1938,0,0,
1,segment_end,500ms-1s,2,553.650373,0,0.5,15661.5,1,0,0.9998210051
1,segment_end,1-5s,1,3667.14603,0,1,2390,5,0,0.9624853458
1,segment_end,5-30s,4,14828.89441,0,1,26732.5,14.75,0,0.973122795
1,stepped_away,<=100ms,4155,79.42641325,1,0.0002406738869,2035.954994,0.7323706378,13.48158845,0.9860939431
1,stepped_away,100-250ms,34256,124.4418431,1,0.0001459598319,1804.850099,1.225770668,17.71899813,0.5568300911
1,stepped_away,250-500ms,7492,348.6055315,1,0.2590763481,4216.011612,2.681126535,20.59169781,0.7432408523
1,stepped_away,500ms-1s,8162,682.3003801,1,0.731070816,5177.816589,4.068120559,20.52474884,0.7625647502
1,stepped_away,1-5s,14028,2242.631081,1,0.9836042201,7195.045124,8.450741374,20.80809809,0.7928210548
1,stepped_away,5-30s,4605,10520.33999,1,1,12204.63018,21.56807818,20.04625407,0.8322965154
1,stepped_away,>30s,541,60422.00975,1,1,21654.73752,68.67837338,19.07948244,0.8548842814
