feature,rows,observed,missing,mean,std,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99
spread_ticks,514078,514078,0,1.033578562,2.162056248,1,431,1,1,1,1,1,1,1,1,1
signed_obi_l1,514078,514078,0,0,0.609065747,-0.9999634624,0.9999634624,-0.9857254046,-0.9286800861,-0.8555738389,-0.5373471826,-0,0.5373471826,0.8555738389,0.9286800861,0.9857254046
signed_obi_l5,514078,514078,0,0,0.606897409,-0.9999830127,0.9999830127,-0.9823754442,-0.9244136631,-0.8515823126,-0.5369149894,0,0.5369149894,0.8515823126,0.9244136631,0.9823754442
signed_obi_l10,514078,514078,0,0,0.6029379283,-0.9999575019,0.9999575019,-0.9790763116,-0.9184917212,-0.8433886886,-0.534656927,0,0.534656927,0.8433886886,0.9184917212,0.9790763116
signed_weighted_obi_l5,514078,514078,0,0,0.6078343966,-0.9999408126,0.9999408126,-0.9834833503,-0.9264146745,-0.8535830379,-0.5366719216,0,0.5366719216,0.8535830379,0.9264146745,0.9834833503
signed_weighted_obi_l10,514078,514078,0,0,0.6074623731,-0.9999350309,0.9999350309,-0.9829985583,-0.9258336425,-0.8528622806,-0.5363027006,0,0.5363027006,0.8528622806,0.9258336425,0.9829985583
signed_microprice_offset_ticks,514078,514078,0,0,0.8475060747,-199.6544189,199.6544189,-0.4931537452,-0.4645393938,-0.4279997736,-0.2687713504,0,0.2687713504,0.4279997736,0.4645393938,0.4931537452
log_own_depth_l1,514078,514078,0,8.809266129,1.304543358,0.6931471825,13.45123577,4.736198425,6.463029385,7.220373631,8.157370567,8.971956253,9.667052746,10.32035446,10.5753603,10.86198006
log_opp_depth_l1,514078,514078,0,8.809266129,1.304543358,0.6931471825,13.45123577,4.736198425,6.463029385,7.220373631,8.157370567,8.971956253,9.667052746,10.32035446,10.5753603,10.86198006
log_own_depth_l5,514078,514078,0,8.898404779,1.25067633,1.791759491,13.87395859,5.075173855,6.62936306,7.337587833,8.234829903,9.040737152,9.734477043,10.38037395,10.63434029,10.96856417
log_opp_depth_l5,514078,514078,0,8.898404779,1.25067633,1.791759491,13.87395859,5.075173855,6.62936306,7.337587833,8.234829903,9.040737152,9.734477043,10.38037395,10.63434029,10.96856417
log_own_depth_l10,514078,514078,0,8.99282985,1.20763762,2.397895336,13.87412643,5.384495258,6.815639973,7.469654083,8.327726364,9.112727165,9.803170204,10.44101267,10.6975914,11.06680514
log_opp_depth_l10,514078,514078,0,8.99282985,1.20763762,2.397895336,13.87412643,5.384495258,6.815639973,7.469654083,8.327726364,9.112727165,9.803170204,10.44101267,10.6975914,11.06680514
own_concentration_l5,514078,514078,0,0.9339402484,0.1279980281,2.239290552e-05,0.9999865294,0.2886896583,0.6995508134,0.8267489195,0.9352517724,0.9819579124,0.9948431253,0.9979938269,0.9987266749,0.9994050401
opp_concentration_l5,514078,514078,0,0.9339402484,0.1279980281,2.239290552e-05,0.9999865294,0.2886896583,0.6995508134,0.8267489195,0.9352517724,0.9819579124,0.9948431253,0.9979938269,0.9987266749,0.9994050401
own_concentration_l10,514078,514078,0,0.86812952,0.1715220224,2.236185901e-05,0.9999637008,0.1396774262,0.4961386859,0.6579910994,0.8333056569,0.9344081283,0.975855574,0.9903264642,0.9943196267,0.9977013606
opp_concentration_l10,514078,514078,0,0.86812952,0.1715220224,2.236185901e-05,0.9999637008,0.1396774262,0.4961386859,0.6579910994,0.8333056569,0.9344081283,0.975855574,0.9903264642,0.9943196267,0.9977013606
own_dispersion_ticks_l10,514078,514078,0,1.050309841,3.281689228,0.0002179133444,922.2400513,0.01453941888,0.03594679758,0.06041373909,0.1419714093,0.3804790378,1.056252182,2.607991862,4.30868988,9.147192841
opp_dispersion_ticks_l10,514078,514078,0,1.050309841,3.281689228,0.0002179133444,922.2400513,0.01453941888,0.03594679758,0.06041373909,0.1419714093,0.3804790378,1.056252182,2.607991862,4.30868988,9.147192841
signed_net_depth_flow_l1_100ms,514078,514078,0,0,5.116082045,-13.48157787,13.48157787,-10.02527292,-8.11072731,-7.097548962,-4.127134323,0,4.127134323,7.097548962,8.11072731,10.02527292
signed_net_depth_flow_l5_100ms,514078,514078,0,0,5.212087512,-13.48762703,13.48762703,-10.03953337,-8.167068481,-7.152268887,-4.418840408,0,4.418840408,7.152268887,8.167068481,10.03953337
signed_depth_flow_pressure_l10_100ms,514078,427466,86612,0,0.906527472,-1,1,-1,-1,-1,-0.9998677373,0,0.9998677373,1,1,1
signed_trade_imbalance_100ms,514078,209120,304958,0,0.9611216621,-1,1,-1,-1,-1,-1,0,1,1,1,1
signed_log_volume_100ms,514078,514078,0,0,2.768687578,-12.86912918,12.86912918,-7.687080383,-5.220355988,-3.583518982,0,0,0,3.583518982,5.220355988,7.687080383
trade_count_100ms,514078,514078,0,1.962655473,9.785872379,0,508,0,0,0,0,0,1,2,6,40
depth_event_count_100ms,514078,514078,0,0.9804737802,0.15118363,0,6,0,1,1,1,1,1,1,1,1
bbo_change_count_100ms,514078,514078,0,0.05685907586,0.2347271235,0,4,0,0,0,0,0,0,0,1,1
backward_mid_abs_change_ticks_100ms,514078,514078,0,2.281474796,15.0018503,0,1699.5,0,0,0,0,0,0,0,5,65
signed_net_depth_flow_l1_250ms,514078,514078,0,0,6.276850522,-13.81193638,13.81193638,-10.76532678,-9.180706024,-8.020927429,-5.991464615,0,5.991464615,8.020927429,9.180706024,10.76532678
signed_net_depth_flow_l5_250ms,514078,514078,0,0,6.352770799,-13.88705635,13.88705635,-10.72236698,-9.185740471,-8.064321518,-6.077642441,0,6.077642441,8.064321518,9.185740471,10.72236698
signed_depth_flow_pressure_l10_250ms,514078,497258,16820,0,0.7907309724,-1,1,-1,-1,-0.9999761581,-0.8893747181,0,0.8893747181,0.9999761581,1,1
signed_trade_imbalance_250ms,514078,349740,164338,0,0.9135465503,-1,1,-1,-1,-1,-1,0,1,1,1,1
