signal_a,signal_b,bucket_a,bucket_b,observations,level_disappears_500ms,level_disappears_1000ms,trade_through_within_500ms,trade_through_within_1000ms,fill_rate,catastrophic_25,catastrophic_50,mean_markout_1s_ticks
log_level_age_ms,relative_remaining_qty,0,0,7283,0.4895633161,0.6432299018,0.4180170298,0.5266410112,0.9222847728,0.626023531,0.4390352964,-53.46553521
log_level_age_ms,relative_remaining_qty,0,1,14094,0.3561089933,0.525400877,0.2144884318,0.3136795759,0.8175109976,0.6622982025,0.4730081558,-58.97782503
log_level_age_ms,relative_remaining_qty,0,2,51757,0.5104430318,0.6296539307,0.2782039046,0.3547153175,0.7982881543,0.6373142004,0.4551967978,-54.81050007
log_level_age_ms,relative_remaining_qty,0,3,20445,0.3427732885,0.4954267442,0.1573000699,0.2447053045,0.7850819271,0.653541863,0.4579776824,-57.65441406
log_level_age_ms,relative_remaining_qty,0,4,9237,0.3260069191,0.4924209714,0.1803811193,0.2884365618,0.8280827108,0.6232187152,0.4271146655,-54.91770166
log_level_age_ms,relative_remaining_qty,1,0,16442,0.2760004997,0.4277460277,0.223877877,0.3216349483,0.8624254957,0.669794023,0.4616958201,-57.4266013
log_level_age_ms,relative_remaining_qty,1,1,22721,0.204216361,0.3472558558,0.1053257063,0.1794454157,0.7415606707,0.6959282756,0.4741215706,-61.97584283
log_level_age_ms,relative_remaining_qty,1,2,20158,0.1609782726,0.2807818353,0.05575950071,0.1014485583,0.6169262824,0.6940088272,0.4614394903,-60.82750302
log_level_age_ms,relative_remaining_qty,1,3,25156,0.1875099391,0.3172602952,0.08638441563,0.1521427929,0.7208618222,0.6551781297,0.4360869229,-57.55459358
log_level_age_ms,relative_remaining_qty,1,4,18338,0.1951139718,0.328225553,0.09313993156,0.166593954,0.7709128585,0.6465303898,0.4320577085,-57.04088562
log_level_age_ms,relative_remaining_qty,2,0,21523,0.1499326229,0.2573061287,0.1201040745,0.1909585148,0.7803280212,0.6738146544,0.4322134852,-57.3018823
log_level_age_ms,relative_remaining_qty,2,1,23005,0.1110241711,0.2043557614,0.05099113286,0.09602677822,0.6291675723,0.6889595389,0.4468702376,-59.2727995
log_level_age_ms,relative_remaining_qty,2,2,14805,0.09450787306,0.1709112972,0.0293183811,0.05302979052,0.5064505235,0.682715416,0.4215790927,-58.20898906
log_level_age_ms,relative_remaining_qty,2,3,22185,0.1017445773,0.1863138378,0.04670242965,0.08713880181,0.6337164751,0.6444270611,0.4053631127,-54.79120137
log_level_age_ms,relative_remaining_qty,2,4,21298,0.1079025194,0.1975865215,0.0468141064,0.09160915017,0.6717532163,0.6326972842,0.3980568945,-54.22450549
log_level_age_ms,relative_remaining_qty,3,0,25236,0.0693057552,0.1286257654,0.0565858297,0.09680615366,0.6406720558,0.661986649,0.3740722537,-51.05217095
log_level_age_ms,relative_remaining_qty,3,1,23243,0.05235984921,0.09818010032,0.0233188495,0.04285161197,0.4945144775,0.6728727818,0.3975987434,-54.04363146
