grouping,side,observations,level_disappears_100ms,level_disappears_250ms,level_disappears_500ms,level_disappears_1000ms,level_disappears_5000ms,trade_through_within_100ms,trade_through_within_250ms,trade_through_within_500ms,trade_through_within_1000ms,trade_through_within_5000ms,file_index,segment_id
side,0,257039,0.05513581634,0.1033477932,0.1660357565,0.2530180812,0.5524407029,0.03292898461,0.06013212353,0.09282429516,0.139870286,0.328110218,,
side,1,257039,0.05514359847,0.1033555716,0.1660201848,0.2530258894,0.5524368286,0.03169959411,0.05779780075,0.08933448792,0.1374036521,0.325071305,,
segment,,9116,0.01250548474,0.02281702496,0.03795524314,0.06934386492,0.2512629032,0.006252742372,0.01283457689,0.01952610724,0.03565942496,0.1287063509,0,1
segment,,58964,0.01331320778,0.02891594917,0.05318499357,0.0958583504,0.3370763659,0.00690251682,0.01599280909,0.02793229744,0.04909941927,0.172388643,1,1
segment,,165602,0.01692028902,0.03565217555,0.0635265708,0.1075483114,0.3372445405,0.009118357673,0.01968599111,0.03326087072,0.05527777597,0.1766148061,2,1
segment,,145274,0.0762283653,0.1374800354,0.215389058,0.3212732077,0.6437028646,0.04577556998,0.07953356206,0.1199129894,0.1785615981,0.3905303478,2,2
segment,,236,0.04237288237,0.07627118379,0.1949152499,0.3305084705,0.8474576473,0.02966101654,0.03846153989,0.09829059988,0.1666666716,0.4557522237,2,3
segment,,34076,0.04645498469,0.09265128523,0.1580970883,0.2658038437,0.6863919497,0.0252377037,0.05106532946,0.08419909328,0.1389329135,0.381729573,2,4
segment,,32396,0.1253549755,0.2272643149,0.3448477983,0.4906464219,0.8598159552,0.07596617192,0.1310736537,0.1944804639,0.2812557817,0.5582350492,2,5
segment,,68414,0.1157219261,0.216388464,0.3428245783,0.5009939671,0.8919519186,0.06811471283,0.1234104112,0.1882070899,0.2787522674,0.5755511522,2,6
