grouping,queue_cell,phase2_block,eligible_opportunities,filled,fill_rate,markout_100ms_observed,markout_100ms_mean,markout_100ms_median,markout_100ms_std,markout_100ms_p1,markout_100ms_p5,markout_100ms_p10,markout_100ms_p25,markout_100ms_p50,markout_100ms_p75,markout_100ms_p90,markout_100ms_p95,markout_100ms_p99,markout_100ms_frac_favourable,markout_500ms_observed,markout_500ms_mean,markout_500ms_median,markout_500ms_std,markout_500ms_p1,markout_500ms_p5,markout_500ms_p10,markout_500ms_p25,markout_500ms_p50,markout_500ms_p75,markout_500ms_p90,markout_500ms_p95,markout_500ms_p99,markout_500ms_frac_favourable,markout_1000ms_observed,markout_1000ms_mean,markout_1000ms_median,markout_1000ms_std,markout_1000ms_p1,markout_1000ms_p5,markout_1000ms_p10,markout_1000ms_p25,markout_1000ms_p50,markout_1000ms_p75,markout_1000ms_p90,markout_1000ms_p95,markout_1000ms_p99,markout_1000ms_frac_favourable,markout_5000ms_observed,markout_5000ms_mean,markout_5000ms_median,markout_5000ms_std,markout_5000ms_p1,markout_5000ms_p5,markout_5000ms_p10,markout_5000ms_p25,markout_5000ms_p50,markout_5000ms_p75,markout_5000ms_p90,markout_5000ms_p95,markout_5000ms_p99,markout_5000ms_frac_favourable,catastrophic_10_rate,catastrophic_25_rate,catastrophic_50_rate,catastrophic_100_rate,utc_day,file_index,segment_id,side
phase2_validation_block,conservative,-1,85544,42059,0.491665108,42059,-25.91421574,-22.5,26.37165667,-119.5,-69.5,-53.5,-36.5,-22.5,-7.5,0.5,0.5,0.5,0.1091799615,42059,-37.65129937,-29.5,39.04357173,-178.5,-108.5,-83.5,-50.5,-29.5,-11.5,-0.5,0.5,0.5,0.09648351126,42059,-40.90678571,-31.5,42.21483404,-196.5,-123.5,-93.5,-55.5,-31.5,-12.5,-0.5,0.5,0.5,0.09655483963,42058,-50.6645228,-38.5,57.5133249,-241.93,-154.5,-122.5,-73.5,-38.5,-15.5,0.5,0.5,65.5,0.1088259071,0.7744834637,0.5983737131,0.2898547279,0.07998288119,,,,
phase2_validation_block,conservative,0,42856,21506,0.5018200485,21506,-28.25411513,-24.5,39.59783604,-108,-70.5,-55.5,-38.5,-24.5,-9.5,-0.5,0.5,0.5,0.09741467497,21506,-42.22075235,-33.5,48.08791271,-179.5,-119.5,-92.5,-58.5,-33.5,-14.5,-0.5,0.5,0.5,0.09169534084,21506,-46.25137171,-36.5,53.22738446,-212.35,-135.5,-103.5,-63.5,-36.5,-15.5,-0.5,0.5,33.5,0.09778666419,21506,-57.44285316,-40.5,87.04520649,-358.45,-201.5,-143.5,-85.5,-40.5,-14.5,0.5,39.5,149.5,0.1430763508,0.7958709197,0.6330326421,0.3452989863,0.1088068446,,,,
phase2_validation_block,conservative,1,42856,21367,0.4985766287,21367,-27.3894089,-23.5,34.80007635,-109.5,-69.5,-53.5,-37.5,-23.5,-9.5,-0.5,0.5,0.5,0.07193335517,21367,-40.98888473,-33.5,39.87942085,-173.5,-106.5,-90.5,-56.5,-33.5,-14.5,-0.5,0.5,0.5,0.06903168437,21367,-44.46197407,-34.5,42.70616111,-209.5,-120.5,-97.5,-62.5,-34.5,-16.5,-0.5,0.5,0.5,0.07221416203,21367,-56.63836758,-42.5,62.8502751,-263.5,-177.5,-131.5,-85.5,-42.5,-20.5,-0.5,0.5,95.5,0.09636355127,0.8153226939,0.6369635419,0.3261103571,0.09158983479,,,,
phase2_validation_block,conservative,2,42856,19031,0.4440685085,19031,-28.99069939,-25.5,27.51229922,-128.5,-78.5,-56.5,-39.5,-25.5,-10.5,0.5,0.5,0.5,0.1016236666,19031,-43.3754138,-34.5,41.36698835,-184.5,-121.5,-95.5,-58.5,-34.5,-15.5,-0.5,0.5,0.5,0.08780410909,19031,-46.19617992,-36.5,44.1974106,-204.5,-135.5,-106.5,-65.5,-36.5,-15.5,-0.5,0.5,0.5,0.08754137985,19031,-54.12582103,-42.5,59.46467905,-255.5,-156.5,-125.5,-80.5,-42.5,-19.5,-0.5,0.5,81.5,0.09994219957,0.8059481898,0.648678472,0.3445431139,0.1113446482,,,,
phase2_validation_block,conservative,3,42850,19180,0.4476079347,19180,-21.13196038,-19.5,21.49546362,-90.5,-57.5,-42.5,-31.5,-19.5,-5.5,0.5,0.5,0.5,0.1535453597,19180,-35.60995829,-27.5,35.56270865,-161.5,-105.5,-81.5,-48.5,-27.5,-10.5,0.5,0.5,0.5,0.1075078206,19180,-37.13107404,-28.5,38.23661278,-172.5,-113.5,-87.5,-50.5,-28.5,-11.5,0.5,0.5,0.5,0.1100625652,19180,-48.54551616,-36.5,51.36727426,-213.71,-145.5,-117.5,-72.5,-36.5,-15.5,0.5,0.5,59.5,0.1042752868,0.7620959333,0.5497393118,0.2544316997,0.06908237748,,,,
phase2_validation_block,conservative,4,42856,22407,0.5228439425,22407,-22.87282992,-20.5,27.8280454,-102.5,-66.5,-54,-35.5,-20.5,-4.5,0.5,0.5,40.5,0.1553532378,22407,-44.50560093,-33.5,51.78558131,-215.5,-134.5,-98.5,-62.5,-33.5,-12.5,-0.5,0.5,31.44,0.0942562592,22407,-49.14952916,-36.5,61.31095366,-269.32,-158.5,-114.5,-69.5,-36.5,-12.5,0.5,0.5,69.5,0.1085375106,22407,-59.82898201,-45.5,105.558576,-390.5,-238.5,-180.5,-99.5,-45.5,-9.5,21.5,89.5,239.44,0.1698130049,0.7730619896,0.6322577766,0.3865756237,0.1332172982,,,,
phase2_validation_block,conservative,5,42856,34763,0.8111582976,34763,-35.99124069,-31.5,108.8987914,-171.5,-105.5,-82.5,-54.5,-31.5,-10.5,0.5,0.5,64.5,0.1172223341,34763,-59.7069154,-47.5,140.5096683,-348.5,-193.5,-146.5,-93.5,-47.5,-17.5,0.5,16.5,167.5,0.120789345,34763,-64.38722205,-52.5,164.6408522,-414.88,-231.5,-173.5,-103.5,-52.5,-16.5,0.5,59.5,232.5,0.1489227052,34763,-75.47517475,-64.5,306.9548488,-802.88,-391.5,-279.5,-157.5,-64.5,0.5,118.5,226.5,620.5,0.2632684176,0.783217789,0.6941288151,0.5093058712,0.2616287432,,,,
phase2_validation_block,conservative,6,42846,34913,0.8148485273,34913,-40.25832784,-34,60.81566554,-179.5,-111.5,-87.5,-57.5,-34,-13.5,-0.5,0.5,35.5,0.08117320196,34911,-60.52380339,-46.5,86.34598001,-307.5,-192.5,-143.5,-89.5,-46.5,-18.5,-0.5,0.5,113.5,0.09796339263,34899,-66.10219491,-51.5,105.6563932,-383.52,-223.5,-170.5,-101.5,-51.5,-18.5,0.5,43.5,184.5,0.1272242758,34883,-76.80322793,-66.5,208.8323124,-677.86,-369.5,-277.5,-158.5,-66.5,0.5,109.5,199.5,474.5,0.2715649457,0.8001375398,0.7008796814,0.5104444253,0.2572280008,,,,
phase2_validation_block,conservative,7,42852,31668,0.739008681,31668,-34.6731085,-30.5,38.3290804,-150.5,-96.5,-75.5,-49.5,-30.5,-10.5,0.5,0.5,33.5,0.1078691424,31668,-53.04847164,-41.5,69.24462491,-252.665,-159.5,-121.5,-78.5,-41.5,-15.5,0.5,0.5,93.5,0.1135215359,31668,-57.72352217,-44.5,84.62428104,-294.5,-182.5,-142.5,-86.5,-44.5,-16.5,0.5,9.5,145.5,0.1232790198,31655,-70.60606539,-59.5,163.6922267,-548.5,-283.5,-216.5,-125.5,-59.5,-9.5,51.5,126.5,379.42,0.2069815195,0.7934192245,0.6852658835,0.4600543135,0.1918024504,,,,
phase2_validation_block,conservative,8,42852,36712,0.8567161393,36712,-43.16096917,-34.5,52.36640336,-225.5,-124.5,-96.5,-62.5,-34.5,-10.5,0.5,0.5,39.5,0.1118435389,36712,-61.42345827,-47.5,85.98237103,-330.5,-200.5,-156.5,-94.5,-47.5,-12.5,0.5,33.5,142.39,0.1472270647,36712,-65.15191218,-51.5,104.4099527,-381.5,-240.5,-184.5,-110.5,-51.5,-8.5,23.45,75.5,203.5,0.1838635868,36712,-71.45302626,-62.5,208.7653766,-661.5,-396.5,-302.5,-172.5,-62.5,28.5,150.5,244.5,472.5,0.3216659403,0.7437622576,0.6603290477,0.5059653519,0.2799357158,,,,
