cohort,queue_cell,eligible_opportunities,filled,fill_rate,markout_100ms_observed,markout_100ms_mean,markout_100ms_median,markout_100ms_std,markout_100ms_p1,markout_100ms_p5,markout_100ms_p10,markout_100ms_p25,markout_100ms_p50,markout_100ms_p75,markout_100ms_p90,markout_100ms_p95,markout_100ms_p99,markout_100ms_frac_favourable,markout_500ms_observed,markout_500ms_mean,markout_500ms_median,markout_500ms_std,markout_500ms_p1,markout_500ms_p5,markout_500ms_p10,markout_500ms_p25,markout_500ms_p50,markout_500ms_p75,markout_500ms_p90,markout_500ms_p95,markout_500ms_p99,markout_500ms_frac_favourable,markout_1000ms_observed,markout_1000ms_mean,markout_1000ms_median,markout_1000ms_std,markout_1000ms_p1,markout_1000ms_p5,markout_1000ms_p10,markout_1000ms_p25,markout_1000ms_p50,markout_1000ms_p75,markout_1000ms_p90,markout_1000ms_p95,markout_1000ms_p99,markout_1000ms_frac_favourable,markout_5000ms_observed,markout_5000ms_mean,markout_5000ms_median,markout_5000ms_std,markout_5000ms_p1,markout_5000ms_p5,markout_5000ms_p10,markout_5000ms_p25,markout_5000ms_p50,markout_5000ms_p75,markout_5000ms_p90,markout_5000ms_p95,markout_5000ms_p99,markout_5000ms_frac_favourable,catastrophic_10_rate,catastrophic_25_rate,catastrophic_50_rate,catastrophic_100_rate,side
grid,conservative,514078,319014,0.6205556355,319014,-33.0665347,-26.5,53.10709279,-159.5,-95.5,-73.5,-46.5,-26.5,-9.5,0.5,0.5,17.5,0.1079889911,319012,-50.73651305,-38.5,76.01854486,-263.5,-159.5,-120.5,-73.5,-38.5,-14.5,0.5,0.5,80.5,0.1074912542,318998,-54.82600361,-39.5,90.24790679,-308.5,-185.5,-139.5,-81.5,-39.5,-14.5,0.5,13.5,134.5,0.1240446649,318964,-64.46653071,-48.5,168.8985486,-529.5,-294.5,-212.5,-114.5,-48.5,-7.5,54.5,136.5,361.5,0.2026372882,0.7825723045,0.654605985,0.4212001329,0.1829948777,
grid,midpoint,514078,355083,0.69071814,355083,-22.80207304,-11.5,50.28911333,-143.5,-84.5,-63.5,-37.5,-11.5,0.5,0.5,0.5,22.5,0.3783622421,355076,-36.49094982,-21.5,72.59168172,-241.5,-142.5,-104.5,-58.5,-21.5,0.5,0.5,0.5,87.5,0.345250031,355052,-40.10587041,-24.5,86.4443785,-286.5,-167.5,-121.5,-66.5,-24.5,0.5,0.5,22.5,141.5,0.335908543,355018,-48.80062279,-32.5,161.9040598,-498.5,-268.5,-190.5,-95.5,-32.5,0.5,63.5,141.5,359.5,0.3331464883,0.5936820522,0.4981636493,0.3220260694,0.1399231662,
grid,optimistic,514078,496183,0.9651901073,496183,-2.980742992,0.5,35.4230996,-84.5,-34.5,-6.5,0.5,0.5,0.5,0.5,0.5,36.5,0.8867957991,496178,-4.822283535,0.5,51.95322643,-155.5,-66.5,-30.5,0.5,0.5,0.5,0.5,23.5,106.5,0.843366695,496168,-5.290284742,0.5,65.80603474,-197.5,-87.5,-44.5,0.5,0.5,0.5,6.5,53.5,154.5,0.8086474742,496105,-6.513512261,0.5,137.4488411,-390.5,-185.5,-110.5,-25.5,0.5,1.5,90.5,159.5,356.5,0.6868808014,0.170141968,0.1416838651,0.09187009239,0.04029683494,
grid_by_side,conservative,257039,160846,0.6257649617,160846,-32.48173097,-26.5,46.24740392,-157.5,-94,-72.5,-45.5,-26.5,-8.5,0.5,0.5,18.05,0.108190443,160846,-49.24844883,-37.5,68.58450436,-251.5,-154.5,-117.5,-72.5,-37.5,-13.5,0.5,0.5,84.05,0.1074568221,160834,-53.32124737,-39.5,82.21374146,-299.5,-182.5,-136.5,-80.5,-39.5,-13.5,0.5,15.5,141.5,0.1242523347,160831,-61.35703627,-46.5,165.9237014,-513.5,-291.5,-207.5,-111.5,-46.5,-6.5,58.5,139.5,368.5,0.2048734386,0.7763097355,0.6501796884,0.4133765249,0.1763930512,0
grid_by_side,conservative,257039,158168,0.6153463093,158168,-33.66123995,-27.5,59.26854223,-162.5,-96.5,-74.5,-46.5,-27.5,-9.5,0.5,0.5,16.5,0.1077841283,158166,-52.24979136,-38.5,82.87046294,-272.5,-164.5,-123.5,-75.5,-38.5,-15.5,0.5,0.5,79.5,0.1075262699,158164,-56.35616196,-40.5,97.71933355,-318.5,-189.5,-141.5,-83.5,-40.5,-15.5,0.5,11.5,129.5,0.1238334893,158133,-67.62907805,-50.5,171.8141544,-544.5,-297.5,-215.5,-117.5,-50.5,-8.5,51.5,132.9,356.5,0.2003629856,0.7889405933,0.6591070029,0.429155813,0.189708151,1
grid_by_side,midpoint,257039,179164,0.6970304117,179164,-22.15558929,-10.5,43.40925011,-140.5,-82.5,-61.5,-36.5,-10.5,0.5,0.5,0.5,23.5,0.3842233931,179159,-35.00358899,-20.5,65.45087079,-232.5,-138.5,-101.5,-56.5,-20.5,0.5,0.5,0.5,90.5,0.3499517189,179136,-38.52033092,-23.5,78.54954343,-276.5,-162.5,-118.5,-64.5,-23.5,0.5,0.5,24.5,145.5,0.3407243658,179134,-45.78233334,-31.5,159.1772653,-482.5,-265.5,-185.5,-92.5,-31.5,0.5,65.5,144.5,367.5,0.3367758215,0.584807074,0.4906104859,0.3138174348,0.133942926,0
grid_by_side,midpoint,257039,175919,0.6844058684,175919,-23.46048181,-13.5,56.43290709,-146.5,-86.5,-65.5,-37.5,-13.5,0.5,0.5,0.5,22.5,0.3723929763,175917,-38.00572145,-22.5,79.17661763,-250.5,-146.5,-107.5,-59.5,-22.5,0.5,0.5,0.5,84.5,0.340461695,175916,-41.72043191,-25.5,93.77605897,-298.5,-171.5,-124.5,-68.5,-25.5,0.5,0.5,20.5,134.5,0.3310045704,175884,-51.87468445,-33.5,164.578389,-515.5,-272.5,-195.5,-99.5,-33.5,0.5,60.5,138.5,352.5,0.3294500921,0.6027194798,0.5058550672,0.3303849565,0.1460128698,1
grid_by_side,optimistic,257039,248055,0.9650481055,248055,-2.981141279,0.5,28.80626654,-82.5,-33.5,-5.5,0.5,0.5,0.5,0.5,0.5,36.5,0.8861341235,248053,-4.653862279,0.5,46.37835666,-151.5,-64.5,-30.5,0.5,0.5,0.5,0.5,23.5,107.5,0.8420498845,248047,-4.904510032,0.5,59.58779705,-192.5,-85.5,-43.5,0.5,0.5,0.5,7.5,54.5,157.5,0.8075001915,248017,-4.807364011,0.5,136.2901153,-382.5,-181.5,-107.5,-25.5,0.5,1.5,92.5,162.5,361.5,0.6862513457,0.1697379932,0.1410256927,0.08999504126,0.0392425629,0
grid_by_side,optimistic,257039,248128,0.9653321091,248128,-2.980344822,0.5,40.98378947,-86.5,-34.5,-6.5,0.5,0.5,0.5,0.5,0.5,36.5,0.8874572801,248125,-4.990655919,0.5,56.98349416,-159.5,-67.5,-31.5,0.5,0.5,0.5,0.5,23.5,104.5,0.8446831234,248121,-5.675944398,0.5,71.48181763,-201.5,-88.5,-46.5,0.5,0.5,0.5,6.5,51.5,152.5,0.8097944148,248088,-8.219172229,0.5,138.5768318,-397.5,-188.5,-113.5,-26.5,0.5,0.5,87.5,155.5,351.5,0.6875100771,0.1705458224,0.1423418413,0.0937445843,0.04135079256,1
level_birth,conservative,297285,253387,0.852336983,253387,-30.47480139,-24.5,125.4634153,-219.5,-107.5,-80.5,-48.5,-24.5,-4.5,0.5,24.5,124.5,0.1758061779,253385,-44.81588689,-35.5,158.8861958,-371.5,-193.5,-140.5,-79.5,-35.5,-5.5,31.5,85.5,252.5,0.199376443,253373,-48.2097836,-39.5,190.5490753,-471.5,-241.5,-172.5,-94.5,-39.5,-1.5,63.5,133.5,350.5,0.2330003592,253347,-55.61967578,-47.5,370.3206056,-955.5,-459.5,-317.5,-157.5,-47.5,42.5,202.5,346.5,829.04,0.3389264527,0.6968540452,0.5973367328,0.4354094556,0.2322031156,
